,company,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,sellingGeneralAdministrative,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,esgRiskRating,esgCluster,cluster,DCN
20,BRIS.jk,,,1.11E+13,3.08E+12,8.92E+11,,,2.19E+12,2.19E+12,2.19E+12,3.13E+12,4.01E+11,7.55E+12,7.96E+12,-46967000000,1.11E+13,6.12E+13,,2.07E+13,3.14E+12,1.11E+12,,,4.91E+13,,,2.17E+13,1.44E+14,1.51E+13,2.18E+12,1.53E+14,1.14E+13,3.4E+12,7.25E+12,2.4E+14,4.28E+13,6.46E+13,2.18E+14,2.17E+13,1.14E+13,41.2,4,5,6
21,BRPT.jk,2.54E+13,6.17E+12,8.46E+12,3.54E+12,1.4E+12,-2.97E+12,2.36E+13,6.14E+11,6.14E+11,2.14E+12,6.17E+12,0,2.29E+12,2.77E+13,-2.63E+12,3.38E+13,1.05E+13,1.39E+12,1.65E+13,1.42E+13,3088500000,4.01E+12,3.88E+13,2.77E+12,2.36E+13,3.53E+12,-4.31E+12,1.12E+13,4.28E+12,1.64E+12,1.37E+13,6.39E+11,4.41E+13,3.23E+12,1.11E+14,2.98E+13,1.59E+13,6.86E+13,1.93E+13,4.85E+11,27.2,2,1,4
22,BSDE.jk,2.09E+12,2.2E+12,4.09E+12,7.24E+11,2.38E+11,-1.78E+12,4.35E+12,2.82E+11,2.82E+11,4.86E+11,2.2E+12,1.1E+11,1.78E+12,3.98E+12,-1.48E+12,6.18E+12,9.34E+11,7.46E+12,1.05E+13,2.12E+12,,1.07E+13,1.16E+13,8.55E+12,4.35E+12,2.06E+11,2.76E+13,1.26E+13,3.97E+12,5.06E+12,2.95E+12,-1.99E+11,8.87E+12,2.1E+13,6.09E+13,2.84E+13,1.18E+13,2.64E+13,3.01E+13,-4.87E+11,17.5,1,2,4
23,BTPS.jk,,,2.72E+12,1.12E+12,2.7E+11,,200000000,8.55E+11,8.55E+11,8.55E+11,1.13E+12,41410000000,1.55E+12,1.59E+12,-1249000000,2.72E+12,9.78E+12,8.46E+11,1.82E+12,7.7E+11,1.96E+11,,,4.72E+12,,,5.78E+12,8.88E+12,5.57E+11,1.73E+11,45086000000,26217000000,3.32E+11,4.25E+12,1.64E+13,2.4E+12,1.04E+13,1.06E+13,5.88E+12,16454000000,35.2,3,3,2
24,BULL.jk,1.41E+12,1.28E+12,1.41E+12,5.75E+11,27759684500,-5.69E+11,1.35E+11,5.22E+11,5.22E+11,5.48E+11,1.28E+12,0,1.27E+11,1.54E+12,-7.06E+11,2.82E+12,2.3E+11,1.16E+12,1.42E+11,3.98E+12,2516170500,44184081000,3.57E+12,0,1.35E+11,7.24E+11,4.09E+12,49105468000,8.59E+11,2.24E+11,56481937000,6.93E+11,8.79E+12,-8.89E+11,1.2E+13,2.32E+12,2.32E+12,6.93E+12,4.94E+12,6.84E+11,24.7,2,3,0
25,BUMI.jk,1.01E+13,4.59E+11,1.33E+12,-4.68E+12,2.16E+11,-3.23E+12,1.06E+13,-4.9E+12,-4.9E+12,-4.89E+12,4.59E+11,54779187500,7.92E+11,1.1E+13,-5.13E+12,1.15E+13,3.22E+12,2.29E+13,8.14E+11,2.69E+13,2.58E+12,3.96E+11,2.03E+13,9.95E+12,1.06E+13,3.28E+12,-8.68E+12,8.7E+12,1.13E+12,5.36E+12,5.6E+12,-1.42E+13,2.53E+13,-4.43E+13,4.97E+13,5.76E+12,1.88E+13,4.78E+13,-8.68E+12,-1.42E+13,38,3,4,6
26,CLEO.jk,5.69E+11,2.13E+11,4.03E+11,1.69E+11,36192322490,-25247847586,,1.33E+11,1.33E+11,1.33E+11,2.13E+11,1056995787,1.89E+11,7.6E+11,-44059547225,9.73E+11,55598942187,2.59E+11,22890468010,2.4E+11,,1.02E+11,1.96E+11,,,1.2E+11,8.95E+11,60578488537,4650550571,24830694334,66602592772,,9.96E+11,3.96E+11,1.31E+12,2.54E+11,1.48E+11,4.16E+11,8.95E+11,-130000000,31.8,3,3,2
27,CPIN.jk,3.43E+13,5.12E+12,8.24E+12,4.77E+12,9.22E+11,-3.68E+11,16652000000,3.84E+12,3.84E+12,3.85E+12,5.12E+12,2.91E+11,2.83E+12,3.74E+13,-3.51E+11,4.25E+13,1.5E+12,,2.68E+12,1.64E+11,4.81E+11,5.69E+12,1.33E+12,62629000000,16652000000,1.98E+12,2.29E+13,2.01E+12,2.88E+12,5.98E+11,8.41E+11,-25109000000,1.51E+13,2.32E+13,3.12E+13,1.35E+13,5.36E+12,7.81E+12,2.33E+13,-25109000000,45.1,4,4,0
28,CTRA.jk,3.97E+12,2.63E+12,4.1E+12,1.66E+12,2.88E+11,-1.24E+12,2.13E+12,1.32E+12,1.32E+12,1.37E+12,2.63E+12,-33430000000,1.5E+12,5.44E+12,-9.73E+11,8.07E+12,8.76E+11,3.57E+12,5.28E+12,4.64E+12,16041000000,1.22E+13,6.87E+12,6.45E+11,2.13E+12,2.4E+12,1.53E+13,1.54E+13,6.91E+11,7.28E+12,3.32E+12,19981000000,2.6E+12,7.14E+12,3.93E+13,2.06E+13,1.16E+13,2.18E+13,1.53E+13,-13367000000,27,2,0,3
29,DMAS.jk,1.02E+12,1.38E+12,1.61E+12,1.42E+12,74073930619,-90731255855,3537157948,1.35E+12,1.35E+12,1.35E+12,1.38E+12,,2.31E+11,1.25E+12,39525408135,2.63E+12,9742671501,3.8E+11,1.38E+12,4.82E+12,,2.25E+12,,88168598591,3537157948,39743747005,5.52E+12,2.48E+12,71860891947,1.15E+12,56494394564,,4.4E+11,3.25E+11,6.75E+12,3.74E+12,1.17E+12,1.22E+12,5.52E+12,,23.1,2,3,0
30,DOID.jk,7.98E+12,2.86E+11,7.49E+11,-3.53E+11,-13428653000,-7.17E+11,3103000,-3.4E+11,-3.4E+11,-3.4E+11,2.86E+11,0,4.34E+11,8.44E+12,-6.39E+11,8.72E+12,7.19E+11,2.1E+12,1.62E+12,6.86E+11,91469784500,5.73E+11,4.84E+12,0,3103000,2.32E+12,3.82E+12,1.54E+12,4.15E+11,80079556000,8.24E+11,10800339500,7.26E+12,1.02E+12,1.41E+13,5.33E+12,3.2E+12,1.03E+13,3.82E+12,10800339500,42.9,4,3,4
31,ELSA.jk,6.92E+12,4.37E+11,8.04E+11,3.81E+11,1.32E+11,-96108000000,1508000000,2.49E+11,2.49E+11,2.49E+11,4.37E+11,84234000000,2.82E+11,7.29E+12,-56238000000,7.73E+12,6.85E+11,4.36E+11,1.23E+12,7.3E+11,1.18E+11,2.73E+11,1.04E+12,19622000000,1508000000,2.2E+12,3.73E+12,1.17E+12,4.86E+11,1.15E+11,1.48E+11,-51325000000,2.14E+12,2.63E+12,7.56E+12,4.22E+12,2.57E+12,3.82E+12,3.74E+12,-51325000000,41.1,4,3,4
32,ERAA.jk,3.07E+13,1.08E+12,3.39E+12,9.17E+11,2.46E+11,-1.81E+11,2.79E+11,6.12E+11,6.12E+11,6.71E+11,1.08E+12,-2.15E+11,2.52E+12,3.3E+13,-1.68E+11,3.41E+13,2.09E+12,5.94E+11,2E+12,1.6E+12,1.09E+11,3.63E+12,,35487768000,2.79E+11,1.58E+12,4.68E+12,1.53E+12,3.23E+11,7.43E+11,2.01E+11,16966763000,1.37E+12,3.21E+12,1.12E+13,7.55E+12,5.14E+12,5.52E+12,5.41E+12,8005828000,11.3,1,1,4
